DateTime,Station,Energy Production (kWh),Energy Production (W),Water Flow (m³/s)
2022-10-09,Amberd 3,14084.56,50704416000.0,19040.876299722353
2022-10-10,Amberd 3,12990.46,46765656000.0,17561.765645252053
2022-10-11,Amberd 3,10973.2,39503520000.0,14834.63763242255
2022-10-12,Amberd 3,11202.66,40329576000.0,15144.843948823935
2022-10-13,Amberd 3,11426.8,41136480000.0,15447.858172471657
2022-10-14,Amberd 3,13073.2,47063520000.0,17673.62161413138
2022-10-15,Amberd 3,14508.62,52231032000.0,19614.16179842876
2022-10-16,Amberd 3,14939.96,53783856000.0,20197.28910827175
2022-10-17,Amberd 3,13228.88,47623968000.0,17884.084959975396
2022-10-18,Amberd 3,12497.52,44991072000.0,16895.361471945598
2022-10-19,Amberd 3,12208.0,43948800000.0,16503.960213667342
2022-10-20,Amberd 3,12057.22,43405992000.0,16300.121163780648
2022-10-21,Amberd 3,12975.76,46712736000.0,17541.89275738009
2022-10-22,Amberd 3,12826.8,46176480000.0,17340.514160277544
2022-10-23,Amberd 3,12538.82,45139752000.0,16951.194823585873
2022-10-24,Amberd 3,12136.32,43690752000.0,16407.05622709168
2022-10-25,Amberd 3,13033.44,46920384000.0,17619.870184077692
2022-10-26,Amberd 3,13581.82,48894552000.0,18361.22353450126
2022-10-27,Amberd 3,13510.28,48637008000.0,18264.50881352438
2022-10-28,Amberd 3,13620.18,49032648000.0,18413.08230856714
2022-10-29,Amberd 3,13532.12,48715632000.0,18294.034246934152
2022-10-30,Amberd 3,13478.92,48524112000.0,18222.113319397526
2022-10-31,Amberd 3,13461.42,48461112000.0,18198.45511954995
2022-11-01,Amberd 3,11975.88,43113168000.0,16190.157850889125
2022-11-02,Amberd 3,12233.06,44039016000.0,16537.83875584907
2022-11-03,Amberd 3,13946.8,50208480000.0,18854.638950522254
2022-11-04,Amberd 3,14035.42,50527512000.0,18974.444074550367
2022-11-05,Amberd 3,13722.8,49402080000.0,18551.81399247331
2022-11-06,Amberd 3,13899.76,50039136000.0,18791.04570933198
2022-11-07,Amberd 3,13175.96,47433456000.0,17812.542563636332
2022-11-08,Amberd 3,12911.5,46481400000.0,17455.0198475398
2022-11-09,Amberd 3,13097.0,47149200000.0,17705.796765924082
2022-11-10,Amberd 3,13038.2,46937520000.0,17626.305214436234
2022-11-11,Amberd 3,13558.86,48811896000.0,18330.183976301243
2022-11-12,Amberd 3,12831.7,46194120000.0,17347.138456234865
2022-11-13,Amberd 3,12523.0,45082800000.0,16929.807810923667
2022-11-14,Amberd 3,12690.3,45685080000.0,17155.98020146647
2022-11-15,Amberd 3,12602.1,45367560000.0,17036.7428742347
2022-11-16,Amberd 3,12626.6,45455760000.0,17069.8643540213
2022-11-17,Amberd 3,13457.5,48447000000.0,18193.155682784098
2022-11-18,Amberd 3,12100.76,43562736000.0,16358.98276500141
