DateTime,Station,Energy Production (kWh)
2023-03-05,Amberd 3,-206.8753357442638
2023-03-06,Amberd 3,-3396.0682621360465
2023-03-07,Amberd 3,629.5108439095602
2023-03-08,Amberd 3,245.74156798294825
2023-03-09,Amberd 3,607.1371440250387
2023-03-10,Amberd 3,-798.5058815474713
2023-03-11,Amberd 3,-1056.8453224771347
2023-03-12,Amberd 3,-798.8814385704463
2023-03-13,Amberd 3,-631.6362610679644
2023-03-14,Amberd 3,1445.6258531518943
2023-03-15,Amberd 3,6777.492526644266
2023-03-16,Amberd 3,6688.433640101215
2023-03-17,Amberd 3,1132.7630599169206
2023-03-18,Amberd 3,331.45962072577095
2023-03-19,Amberd 3,332.1049301833409
2023-03-20,Amberd 3,164.25771414985866
2023-03-21,Amberd 3,-1848.6127666727698
2023-03-22,Amberd 3,-1217.1938356202481
2023-03-23,Amberd 3,-344.3010777235322
2023-03-24,Amberd 3,1102.4498058209392
2023-03-25,Amberd 3,5613.080435200762
2023-03-26,Amberd 3,9657.481163858894
2023-03-27,Amberd 3,17909.931339958388
2023-03-28,Amberd 3,13661.756456562685
2023-03-29,Amberd 3,8710.769966622767
2023-03-30,Amberd 3,5348.244318207431
2023-03-31,Amberd 3,687.3506642455795
2023-04-01,Amberd 3,-1349.4168878871315
2023-04-02,Amberd 3,-3316.581301293727
2023-04-03,Amberd 3,-1826.1737171595541
2023-04-04,Amberd 3,155.94574168272447
2023-04-05,Amberd 3,16844.82396008011
2023-04-06,Amberd 3,7880.482934951939
2023-04-07,Amberd 3,3835.941941199657
2023-04-08,Amberd 3,2.2919266484677792e-10
2023-04-09,Amberd 3,-3006.2344954812143
2023-04-10,Amberd 3,-191.3072537127373
2023-04-11,Amberd 3,7289.761283161246
2023-04-12,Amberd 3,40759.07576421229
2023-04-13,Amberd 3,0.0
2023-04-14,Amberd 3,0.0
2023-04-15,Amberd 3,0.0
2023-04-16,Amberd 3,0.0
2023-04-17,Amberd 3,0.0
2023-04-18,Amberd 3,15268.532983459761
2023-04-19,Amberd 3,-1616.0496437399015
2023-04-20,Amberd 3,-5847.847587018301
2023-04-21,Amberd 3,10795.769169534055
2023-04-22,Amberd 3,24.620055971583497
2023-04-23,Amberd 3,-6683.593927667722
2023-04-24,Amberd 3,-141.1986603216028
2023-04-25,Amberd 3,-1100.7476467218257
2023-04-26,Amberd 3,1769.933793572689
2023-04-27,Amberd 3,-16380.943927049335
2023-04-28,Amberd 3,19942.603520462246
2023-04-29,Amberd 3,18454.478868882674
2023-04-30,Amberd 3,7800.07452010212
2023-05-01,Amberd 3,0.0
2023-05-02,Amberd 3,-26981.058950217506
2023-05-03,Amberd 3,-13062.33499362637
2023-05-04,Amberd 3,30593.31928403811
2023-05-05,Amberd 3,20674.35733006311
2023-05-06,Amberd 3,6421.613392422689
2023-05-07,Amberd 3,-1.6007106751203537e-10
2023-05-08,Amberd 3,-24476.240851654635
2023-05-09,Amberd 3,-20781.85171395872
2023-05-10,Amberd 3,-10688.933131626254
2023-05-11,Amberd 3,-1.4551915228366852e-10
2023-05-12,Amberd 3,8849.900220987285
2023-05-13,Amberd 3,16104.07871292418
2023-05-14,Amberd 3,17556.277827638158
2023-05-15,Amberd 3,-6049.232248877175
2023-05-16,Amberd 3,0.0
2023-05-17,Amberd 3,0.0
2023-05-18,Amberd 3,0.0
2023-05-19,Amberd 3,-59185.05124033145
2023-05-20,Amberd 3,1383.0388012987387
2023-05-21,Amberd 3,17862.626525292435
2023-05-22,Amberd 3,-22884.825514439814
2023-05-23,Amberd 3,0.0
2023-05-24,Amberd 3,13568.87418827592
2023-05-25,Amberd 3,33617.99596974446
2023-05-26,Amberd 3,31728.008393221302
2023-05-27,Amberd 3,9741.572153406334
2023-05-28,Amberd 3,-50697.339638989826
2023-05-29,Amberd 3,259.2543791781645
2023-05-30,Amberd 3,8778.352010316274
2023-05-31,Amberd 3,-1533.7825438235013
2023-06-01,Amberd 3,1523.3570626786095
2023-06-02,Amberd 3,4357.543348190462
2023-06-03,Amberd 3,3264.161347050045
2023-06-04,Amberd 3,5781.808233383694
2023-06-05,Amberd 3,1988.5161488667654
2023-06-06,Amberd 3,-699.3216782840027
2023-06-07,Amberd 3,-158.48941298216232
2023-06-08,Amberd 3,169.45212823094334
2023-06-09,Amberd 3,10103.207818804396
2023-06-10,Amberd 3,8395.534432475484
2023-06-11,Amberd 3,4683.860787330952
2023-06-12,Amberd 3,-5887.625999408308
2023-06-13,Amberd 3,-4607.118855397101
2023-06-14,Amberd 3,15601.73027368568
2023-06-15,Amberd 3,-16989.61189229079
2023-06-16,Amberd 3,-16017.460104282858
2023-06-17,Amberd 3,14550.401711203507
2023-06-18,Amberd 3,27303.158023961965
2023-06-19,Amberd 3,9242.14923273056
2023-06-20,Amberd 3,13695.518942802184
2023-06-21,Amberd 3,-32214.65541064432
2023-06-22,Amberd 3,0.0
2023-06-23,Amberd 3,22263.48639772096
2023-06-24,Amberd 3,-27524.177017495604
2023-06-25,Amberd 3,-34437.97745369263
2023-06-26,Amberd 3,-24144.231134802292
2023-06-27,Amberd 3,7668.229543533511
2023-06-28,Amberd 3,1562.8591279262328
2023-06-29,Amberd 3,10835.143348952333
2023-06-30,Amberd 3,14672.751673738021
2023-07-01,Amberd 3,12802.192528183943
2023-07-02,Amberd 3,-2441.5295833914206
2023-07-03,Amberd 3,-3090.20330392701
2023-07-04,Amberd 3,-254.9159693945985
2023-07-05,Amberd 3,16449.421553940556
2023-07-06,Amberd 3,669.0616305454241
