Station,Datetime,Energy Production (kWh)
Amberd 3,2023-10-15,12163.2
Amberd 3,2023-10-16,14231.0
Amberd 3,2023-10-17,13045.2
Amberd 3,2023-10-18,13464.5
Amberd 3,2023-10-19,21967.4
Amberd 3,2023-10-20,16503.2
Amberd 3,2023-10-21,14562.1
Amberd 3,2023-10-22,13319.6
Amberd 3,2023-10-23,13903.26
Amberd 3,2023-10-24,14386.4
Amberd 3,2023-10-25,14288.4
Amberd 3,2023-10-26,14091.7
Amberd 3,2023-10-27,13560.400000000001
Amberd 3,2023-10-28,14360.5
Amberd 3,2023-10-29,15090.6
Amberd 3,2023-10-30,15343.300000000001
Amberd 3,2023-10-31,14618.1
Amberd 3,2023-11-01,13068.3
Amberd 3,2023-11-02,13237.7
Amberd 3,2023-11-03,13321.0
Amberd 3,2023-11-04,11581.5
Amberd 3,2023-11-05,11296.6
Amberd 3,2023-11-06,11258.800000000001
Amberd 3,2023-11-07,11415.6
Amberd 3,2023-11-08,10935.4
Amberd 3,2023-11-09,10521.0
Amberd 3,2023-11-10,11041.800000000001
Amberd 3,2023-11-11,11059.300000000001
Amberd 3,2023-11-12,11116.7
Amberd 3,2023-11-13,10838.1
Amberd 3,2023-11-14,12489.4
Amberd 3,2023-11-15,12364.1
Amberd 3,2023-11-16,12282.9
Amberd 3,2023-11-17,13508.460000000001
Amberd 3,2023-11-18,11914.7
Amberd 3,2023-11-19,11809.0
Amberd 3,2023-11-20,17955.7
Amberd 3,2023-11-21,15988.0
Amberd 3,2023-11-22,14029.400000000001
Amberd 3,2023-11-23,13641.6
Amberd 3,2023-11-24,13076.7
Amberd 3,2023-11-25,12002.2
Amberd 3,2023-11-26,9843.4
Amberd 3,2023-11-27,14111.300000000001
Amberd 3,2023-11-28,11883.2
Amberd 3,2023-11-29,11757.2
Amberd 3,2023-11-30,11829.3
Amberd 3,2023-12-01,11557.7
Amberd 3,2023-12-02,11550.0
Amberd 3,2023-12-03,11571.0
Amberd 3,2023-12-04,13253.800000000001
Amberd 3,2023-12-05,12661.6
Amberd 3,2023-12-06,12149.2
Amberd 3,2023-12-07,13807.5
Amberd 3,2023-12-08,12728.1
Amberd 3,2023-12-09,12014.66
Amberd 3,2023-12-10,8450.82
Amberd 3,2023-12-11,5723.76
Amberd 3,2023-12-12,6174.56
Amberd 3,2023-12-13,5852.0
Amberd 3,2023-12-14,2075.36
