DateTime,Station,Energy Production (kWh)
2023-04-17,Amberd 3,32338.67158797048
2023-04-18,Amberd 3,-8875.736615589602
2023-04-19,Amberd 3,-25547.89284902976
2023-04-20,Amberd 3,-30153.133323315822
2023-04-21,Amberd 3,-13964.906816382969
2023-04-22,Amberd 3,-24503.116397839338
2023-04-23,Amberd 3,-32516.237070532814
2023-04-24,Amberd 3,-27251.02938956263
2023-04-25,Amberd 3,-29602.63126185893
2023-04-26,Amberd 3,-28396.148700983384
2023-04-27,Amberd 3,-29993.48607595901
2023-04-28,Amberd 3,15508.999837129311
2023-04-29,Amberd 3,21768.898190994136
2023-04-30,Amberd 3,29020.70501344985
2023-05-01,Amberd 3,21228.270770941446
2023-05-02,Amberd 3,-8657.612010719531
2023-05-03,Amberd 3,5162.321525046631
2023-05-04,Amberd 3,46823.467242326326
2023-05-05,Amberd 3,35057.1345542528
2023-05-06,Amberd 3,20666.988206932816
2023-05-07,Amberd 3,10551.922237376726
2023-05-08,Amberd 3,-18576.706185034447
2023-05-09,Amberd 3,-19721.114842318057
2023-05-10,Amberd 3,-14670.991075125843
2023-05-11,Amberd 3,-9812.656527333078
2023-05-12,Amberd 3,-6092.103473393072
2023-05-13,Amberd 3,-3964.9312774295395
2023-05-14,Amberd 3,-8706.071738895276
2023-05-15,Amberd 3,-38851.71857519467
2023-05-16,Amberd 3,-64138.00420889526
2023-05-17,Amberd 3,-70327.77873845512
2023-05-18,Amberd 3,-62705.026009701716
2023-05-19,Amberd 3,-20045.295006750937
2023-05-20,Amberd 3,32555.035927537305
2023-05-21,Amberd 3,40404.91675968235
2023-05-22,Amberd 3,-8771.0894412513
2023-05-23,Amberd 3,5954.807320826192
2023-05-24,Amberd 3,11782.61897290533
2023-05-25,Amberd 3,39812.15568740116
2023-05-26,Amberd 3,38746.003499870596
2023-05-27,Amberd 3,18462.165848565957
2023-05-28,Amberd 3,-30876.57008044771
2023-05-29,Amberd 3,13189.444045239186
2023-05-30,Amberd 3,19622.674414336594
2023-05-31,Amberd 3,8249.463813026145
2023-06-01,Amberd 3,10184.410855980532
2023-06-02,Amberd 3,11667.798242989404
2023-06-03,Amberd 3,10452.183417057327
2023-06-04,Amberd 3,13194.531447286863
2023-06-05,Amberd 3,10715.61478814506
2023-06-06,Amberd 3,9218.999311944324
2023-06-07,Amberd 3,11748.613631754619
2023-06-08,Amberd 3,14421.02448607597
2023-06-09,Amberd 3,21585.155729888676
2023-06-10,Amberd 3,19246.098077869305
2023-06-11,Amberd 3,15106.371522363275
2023-06-12,Amberd 3,7823.387244417332
2023-06-13,Amberd 3,11823.534942876577
2023-06-14,Amberd 3,20094.034699558397
2023-06-15,Amberd 3,-20024.863113059342
2023-06-16,Amberd 3,-24656.04689418574
2023-06-17,Amberd 3,3770.7304964156647
2023-06-18,Amberd 3,21610.286228290177
2023-06-19,Amberd 3,3748.2807644229324
2023-06-20,Amberd 3,10346.408138906467
2023-06-21,Amberd 3,-34641.42028964459
2023-06-22,Amberd 3,-4204.759667702398
2023-06-23,Amberd 3,26260.805745941994
2023-06-24,Amberd 3,-33358.540332710196
2023-06-25,Amberd 3,-41839.80719124891
2023-06-26,Amberd 3,-33321.3550295562
2023-06-27,Amberd 3,-12701.174168019483
2023-06-28,Amberd 3,-13497.629080132785
2023-06-29,Amberd 3,-2232.266005535086
2023-06-30,Amberd 3,2885.68483430965
2023-07-01,Amberd 3,2669.768384190931
2023-07-02,Amberd 3,-12902.173964123169
2023-07-03,Amberd 3,-13249.4894241047
2023-07-04,Amberd 3,-7272.141350498219
2023-07-05,Amberd 3,12473.807832841805
2023-07-06,Amberd 3,-1497.1992095950554
2023-07-07,Amberd 3,2997.00405678527
2023-07-08,Amberd 3,8528.159916082812
2023-07-09,Amberd 3,6304.417524862081
2023-07-10,Amberd 3,1946.775939740066
2023-07-11,Amberd 3,6623.013956380688
