Date,Station,Energy Production (kWh),Water_Flow_m3_s
2025-01-09,Amberd1,51.031501460229265,285520.67020873266
2025-01-10,Amberd1,2.7314367496346676,18823.41012672346
2025-01-10,Amberd1,2.7314367496346676,16686.97247706422
2025-01-10,Amberd1,2.7314367496346676,285587.1598070442
2025-01-11,Amberd1,-14.918780737131785,18165.712170960913
2025-01-11,Amberd1,-14.918780737131785,16557.798165137614
2025-01-11,Amberd1,-14.918780737131785,285651.36063205084
2025-01-12,Amberd1,-37.269029992314245,18419.328073326906
2025-01-12,Amberd1,-37.269029992314245,16135.045871559632
2025-01-12,Amberd1,-37.269029992314245,285713.3243995464
2025-01-13,Amberd1,-144.78667038929416,18099.469211387703
2025-01-13,Amberd1,-144.78667038929416,15882.56880733945
2025-01-13,Amberd1,-144.78667038929416,285774.32807031943
2025-01-14,Amberd1,-1.0872688805484358,18068.240387588907
2025-01-14,Amberd1,-1.0872688805484358,16328.80733944954
2025-01-14,Amberd1,-1.0872688805484358,285836.06512695726
2025-01-15,Amberd1,143.41075863595051,18151.517251052366
2025-01-15,Amberd1,143.41075863595051,16446.238532110092
2025-01-15,Amberd1,143.41075863595051,285898.6233465361
2025-01-16,Amberd1,158.80979893999847,18132.590691174308
2025-01-16,Amberd1,158.80979893999847,16651.74311926606
2025-01-16,Amberd1,158.80979893999847,285961.5020642639
2025-01-17,Amberd1,-88.52629853139297,18060.669763637685
2025-01-17,Amberd1,-88.52629853139297,16052.844036697248
2025-01-17,Amberd1,-88.52629853139297,286023.44822043506
2025-01-18,Amberd1,-301.39420449123463,18301.037074089032
2025-01-18,Amberd1,-301.39420449123463,15351.192660550463
2025-01-18,Amberd1,-301.39420449123463,286083.27388928976
2025-01-19,Amberd1,-2.0704597983922213,18812.05419079662
2025-01-19,Amberd1,-2.0704597983922213,16088.073394495414
2025-01-19,Amberd1,-2.0704597983922213,286142.71895785694
2025-01-20,Amberd1,38.07460212866772,18634.14452794287
2025-01-20,Amberd1,38.07460212866772,16340.5504587156
2025-01-20,Amberd1,38.07460212866772,286205.0338336604
2025-01-21,Amberd1,302.90608414488725,19313.608027565184
2025-01-21,Amberd1,302.90608414488725,17218.34862385321
2025-01-21,Amberd1,302.90608414488725,286269.3921821793
2025-01-22,Amberd1,68.91004395374239,18253.720674393884
2025-01-22,Amberd1,68.91004395374239,16000.0
2025-01-22,Amberd1,68.91004395374239,286332.26852377615
2025-01-23,Amberd1,-37.26791782920009,17791.912613369248
2025-01-23,Amberd1,-37.26791782920009,15668.256880733945
2025-01-23,Amberd1,-37.26791782920009,286392.8524579853
2025-01-24,Amberd1,-19.440237024678936,17769.20074151558
2025-01-24,Amberd1,-19.440237024678936,15771.009174311926
2025-01-24,Amberd1,-19.440237024678936,286453.12595765945
2025-01-25,Amberd1,-109.377461645342,17804.97193968511
2025-01-25,Amberd1,-109.377461645342,15248.440366972478
2025-01-25,Amberd1,-109.377461645342,286512.9259083897
2025-01-26,Amberd1,62.852971674566106,17792.858941363153
2025-01-26,Amberd1,62.852971674566106,15392.29357798165
2025-01-26,Amberd1,62.852971674566106,286572.12917067786
2025-01-27,Amberd1,-81.01347805405112,17307.392680490942
2025-01-27,Amberd1,-81.01347805405112,14937.247706422018
2025-01-27,Amberd1,-81.01347805405112,286631.2411615787
2025-01-28,Amberd1,-83.12054861428533,16987.533818551747
2025-01-28,Amberd1,-83.12054861428533,14843.302752293575
